"nace","year","market_EU28"
710,2005,9389428.02
710,2006,13426380
710,2007,14901102
710,2008,22367922
710,2009,8935501.2
710,2010,29789464
710,2011,14901058
710,2012,29775004
710,2013,29831928
710,2014,13418533.8
710,2015,10442000.8
710,2016,17868571.2
729,2005,13760504.84039
729,2006,20302543.8759
729,2007,21782855.585007
729,2008,14963252.557094
729,2009,15036400.800575
729,2010,24809261.40848
729,2011,29499311.600382
729,2012,31079789.337786
729,2013,29134338.195648
729,2014,28388824.122337
729,2015,24446297.631492
729,2016,29370704.495724
811,2005,0
811,2006,32793560.195
811,2007,33234754.801761
811,2008,34550006.783406
811,2009,28548025.337629
811,2010,29164562.966306
811,2011,31204119.294575
811,2012,28611032.099881
811,2013,29236758.662454
811,2014,25902526.358758
811,2015,24198919.173968
811,2016,27144183.73611
812,2005,112511541.203005
812,2006,133701413.6964
812,2007,141425323.455411
812,2008,143344172.011288
812,2009,124730825.068322
812,2010,121662643.501512
812,2011,128137677.139043
812,2012,119088105.9984
812,2013,113900061.187752
812,2014,111213262.873601
812,2015,106752146.834388
812,2016,109129223.720706
891,2005,1580307.803109
891,2006,6122884.2851
891,2007,7042588.629444
891,2008,7285336.579036
891,2009,4578200.841083
891,2010,5556196.772692
891,2011,8859036.606392
891,2012,9671144.61173
891,2013,8998174.610712
891,2014,8666106.593536
891,2015,9081773.565788
891,2016,8601044.192358
893,2008,9893630.13956
893,2009,12333530.827591
893,2010,15015126.118756
893,2011,14889107.351484
893,2012,12308904.772339
893,2013,13583274.822474
893,2014,10352249.73188
893,2015,9639659.834244
893,2016,10043961.09771
899,2005,0
899,2006,534272.9557
899,2007,866193.608709
899,2008,9557865.262418
899,2009,8091103.782851
899,2010,9573521.966706
899,2011,10036287.243153
899,2012,10463971.086989
899,2013,9402106.373814
899,2014,10240846.082376
899,2015,10586018.366748
899,2016,11678831.129178
1000,2008,549858473.28838
1000,2009,502617511.980655
1000,2010,515248399.86712
1000,2011,529184610.590992
1000,2012,553814813.868715
1000,2013,552317085.578832
1000,2014,558353413.997323
1000,2015,593106092.95432
1000,2016,590592737.490486
1011,2005,443684611.222587
1011,2006,485403438.7576
1011,2007,469787392.929897
1011,2008,535106493.21055
1011,2009,506874533.677355
1011,2010,530753480.74765
1011,2011,579439732.538567
1011,2012,633111157.896455
1011,2013,637549335.176964
1011,2014,631899361.546124
1011,2015,632793355.947764
1011,2016,644901169.879116
1012,2005,139805080.81211
1012,2006,141421418.0962
1012,2007,166556210.791635
1012,2008,179274831.32417
1012,2009,174104316.707723
1012,2010,181210657.485246
1012,2011,200441134.65526
1012,2012,228010162.156084
1012,2013,239246431.78359
1012,2014,248353488.746958
1012,2015,252334499.612272
1012,2016,251375424.458262
1013,2005,110457976.41998
1013,2006,127364945.5419
1013,2007,120498893.806752
1013,2008,427701845.66523
1013,2009,425475371.757042
1013,2010,433107073.333474
1013,2011,442553756.005659
1013,2012,464325399.184129
1013,2013,472395180.19407
1013,2014,474538322.16931
1013,2015,492849944.6519
1013,2016,489034553.956266
1020,2005,55684293.497763
1020,2006,61212559.6357
1020,2007,59403764.66157
1020,2008,122555648.983708
1020,2009,117650929.617522
1020,2010,124536656.514572
1020,2011,138194572.54541
1020,2012,141440990.538806
1020,2013,147270973.180338
1020,2014,150967391.301272
1020,2015,156710102.146136
1020,2016,159262805.907978
1031,2005,46440446.323635
1031,2006,51224228.0077
1031,2007,57682039.182633
1031,2008,48325850.745156
1031,2009,48816549.295856
1031,2010,53228454.748676
1031,2011,56453358.582726
1031,2012,58836829.660441
1031,2013,60103459.291008
1031,2014,65902221.40971
1031,2015,66604868.954272
1031,2016,67909899.443214
1032,2005,22397049.771726
1032,2006,24540767.2004
1032,2007,26679014.976861
1032,2008,68101144.186006
1032,2009,64051065.050537
1032,2010,61556322.830856
1032,2011,66595748.809368
1032,2012,68654191.873064
1032,2013,70265593.694478
1032,2014,69323313.875725
1032,2015,68558858.18826
1032,2016,70865718.491118
1039,2005,103951169.869463
1039,2006,98915326.4957
1039,2007,104833789.955559
1039,2008,205886209.08666
1039,2009,196162331.152521
1039,2010,200749715.870166
1039,2011,213333373.575751
1039,2012,215330119.402636
1039,2013,226671938.5224
1039,2014,234739074.172442
1039,2015,256544110.1905
1039,2016,258642051.198642
1041,2005,143838503.368203
1041,2006,158803590.0583
1041,2007,173486996.452773
1041,2008,228431217.925134
1041,2009,184227978.948538
1041,2010,201059503.953668
1041,2011,225569913.790539
1041,2012,240820381.22702
1041,2013,232571888.418744
1041,2014,230691112.535737
1041,2015,231184286.660448
1041,2016,243023215.01034
1042,2005,29678692.787849
1042,2006,29797053.2475
1042,2007,30665655.805941
1042,2008,33974189.36736
1042,2009,28914164.94555
1042,2010,30547657.990362
1042,2011,35071547.338424
1042,2012,30169165.502952
1042,2013,29366579.755128
1042,2014,26369379.513883
1042,2015,26054388.130408
1042,2016,25132301.742798
1051,2005,589625005.12041
1051,2006,598404298.4612
1051,2007,669557139.354045
1051,2008,708037550.720326
1051,2009,633760080.397547
1051,2010,633732172.428362
1051,2011,669200263.786169
1051,2012,724070698.516039
1051,2013,745328302.386108
1051,2014,787583345.113873
1051,2015,727540722.308136
1051,2016,713996760.70002
1052,2005,47679321.735458
1052,2006,45639047.8643
1052,2007,44934176.223837
1052,2008,49075929.18553
1052,2009,43387845.111804
1052,2010,43181332.435932
1052,2011,44282211.660971
1052,2012,41984594.246497
1052,2013,43060299.83304
1052,2014,40615792.120897
1052,2015,41225496.507008
1052,2016,43328001.810042
1061,2005,140498266.513577
1061,2006,147857614.4177
1061,2007,170565240.52647
1061,2008,193605302.823858
1061,2009,164426491.299282
1061,2010,160214171.916224
1061,2011,194011499.490427
1061,2012,200815988.509045
1061,2013,197171734.103778
1061,2014,199863298.436207
1061,2015,204448117.922092
1061,2016,195105760.030434
1062,2005,47483611.776657
1062,2006,47719801.1048
1062,2007,54538189.781571
1062,2008,58256730.93082
1062,2009,49497441.933547
1062,2010,51725054.974256
1062,2011,60553593.306238
1062,2012,69593585.805513
1062,2013,71784031.371696
1062,2014,68286702.320711
1062,2015,66241308.320704
1062,2016,68099105.276508
1071,2005,297024227.041878
1071,2006,308411870.1642
1071,2007,328968179.248887
1071,2008,358244705.855766
1071,2009,337031840.44945
1071,2010,347104905.660206
1071,2011,356994414.149519
1071,2012,372031767.179072
1071,2013,365699335.710786
1071,2014,383514950.533498
1071,2015,407510888.139476
1071,2016,404172279.410856
1072,2005,168618604.875259
1072,2006,175962406.73
1072,2007,182865824.557083
1072,2008,174823212.223574
1072,2009,154003370.628251
1072,2010,159805393.44385
1072,2011,159934471.11451
1072,2012,164759091.38388
1072,2013,169720968.222792
1072,2014,174559283.413375
1072,2015,180637193.663564
1072,2016,173164822.330146
1073,2005,24782977.950878
1073,2006,25652613.1873
1073,2007,26406272.656404
1073,2008,36931042.25641
1073,2009,36399382.177033
1073,2010,36728681.323088
1073,2011,38212206.080439
1073,2012,40192377.205729
1073,2013,40117074.358578
1073,2014,38938706.492868
1073,2015,42038726.987884
