country,date,GDP,Unemployment,Exports,Imports
AT,01/01/1994,217.928,10.4406948,34.183,20.612
AT,01/04/1994,220.649,9.8832338,34.783,21.42
AT,01/07/1994,222.332,9.47555,34.502,22.773
AT,01/10/1994,224.485,9.056946,34.863,23.887
AT,01/01/1995,224.421,8.7659565,35.769,24.158
AT,01/04/1995,225.242,8.3650901,35.514,23.93
AT,01/07/1995,230.359,8.3690197,37.357,23.985
AT,01/10/1995,230.511,8.390338167,37.409,24.375
AT,01/01/1996,234.369,8.400741133,39.487,25.054
AT,01/04/1996,236.012,8.415946333,40.405,25.774
AT,01/07/1996,237.901,8.620714867,39.918,25.831
AT,01/10/1996,240.055,8.6201523,41.262,26.98
AT,01/01/1997,241.547,8.6204248,42.661,27.375
AT,01/04/1997,248.685,8.482326233,47.649,28.817
AT,01/07/1997,248.995,8.3737587,45.457,29.36
AT,01/10/1997,252.526,7.976657633,44.57,29.318
AT,01/01/1998,254.242,7.8403147,43.926,30.693
AT,01/04/1998,256.736,7.733633333,45.389,30.8
AT,01/07/1998,261.685,7.787715533,45.245,30.832
AT,01/10/1998,265.727,7.3746781,46.172,30.925
AT,01/01/1999,267.784,7.082227367,45.426,31.959
AT,01/04/1999,268.673,6.886019067,45.934,32.6
AT,01/07/1999,271.809,6.874140267,47.787,34.251
AT,01/10/1999,276.422,6.633416933,50.124,34.749
AT,01/01/2000,277.467,6.650708233,50.923,36.122
AT,01/04/2000,280.015,6.302082533,52.024,36.412
AT,01/07/2000,280.554,5.989491167,54.921,36.419
AT,01/10/2000,279.485,6.171559633,53.339,35.291
AT,01/01/2001,282.341,6.366834633,54.614,34.457
AT,01/04/2001,284.683,6.869637533,55.342,33.987
AT,01/07/2001,288.107,6.867265667,54.596,34.027
AT,01/10/2001,291.578,6.9794116,53.042,34.504
AT,01/01/2002,293.777,6.6268704,54.449,36.141
AT,01/04/2002,298.699,6.4049761,54.933,37.372
AT,01/07/2002,299.741,6.279914967,54.709,37.91
AT,01/10/2002,301.922,6.157409933,55.207,40.661
AT,01/01/2003,302.237,6.055958433,55.316,40.91
AT,01/04/2003,303.26,6.051594,52.869,41.31
AT,01/07/2003,308.311,5.906565167,53.506,42.614
AT,01/10/2003,313.573,5.708566767,55.164,44.518
AT,01/01/2004,316.068,5.537433633,55.413,47.056
AT,01/04/2004,318.164,5.4362251,56.831,48.307
AT,01/07/2004,320.598,5.478689233,56.103,48.976
AT,01/10/2004,323.081,5.117725967,56.537,50.764
AT,01/01/2005,325.612,5.107357867,57.958,52.082
AT,01/04/2005,327.074,5.057756267,57.957,53.486
AT,01/07/2005,330.563,4.9576921,57.491,53.038
AT,01/10/2005,333.359,5.0077093,59.081,54.935
AT,01/01/2006,334.052,5.045244033,58.92,55.924
AT,01/04/2006,334.618,4.858089267,59.854,58.11
AT,01/07/2006,339.615,4.677130533,60.482,57.248
AT,01/10/2006,343.962,4.515550867,61.152,60.552
AT,01/01/2007,349.093,4.5506004,61.55,63.127
AT,01/04/2007,351.152,4.325620833,61.909,64.534
AT,01/07/2007,355.047,4.253458533,62.563,66.12
AT,01/10/2007,356.83,4.3540211,62.576,68.378
AT,01/01/2008,360.878,4.0871242,64.372,71.422
AT,01/04/2008,361.686,4.2593705,65.408,74.994
AT,01/07/2008,364.49,4.182841867,65.265,74.652
AT,01/10/2008,362.726,4.441280667,64.485,68.903
AT,01/01/2009,366.48,5.309744533,66.414,63.817
AT,01/04/2009,368.529,5.730017333,64.885,63.921
AT,01/07/2009,369.658,5.6788824,66.01,66.682
AT,01/10/2009,372.366,5.557856733,67.377,72.032
AT,01/01/2010,374.249,5.332538,69.503,74.713
AT,01/04/2010,376.184,5.291587967,70.424,77.234
AT,01/07/2010,378.803,5.1203289,69.225,76.222
AT,01/10/2010,382.661,5.0903467,70.669,79.6
AT,01/01/2011,381.637,4.971769433,67.045,80.875
AT,01/04/2011,386.11,4.963495067,68.724,83.805
AT,01/07/2011,391.324,5.188880533,70.97,88.158
AT,01/10/2011,395.795,5.205238433,72.677,88.819
AT,01/01/2012,399.502,5.1468342,70.869,90.047
AT,01/04/2012,402.509,5.119361233,73.837,89.893
AT,01/07/2012,404.849,5.269536933,74.57,90.124
AT,01/10/2012,407.094,5.367469633,75.27,90.546
AT,01/01/2013,408.208,5.482393267,75.187,87.078
AT,01/04/2013,410.055,5.630737267,78.618,90.147
AT,01/07/2013,413.326,5.717953967,78.382,88.372
AT,01/10/2013,416.705,5.8421881,79.515,87.769
AT,01/01/2014,419.596,5.898409567,81.741,85.514
AT,01/04/2014,421.874,5.9262413,82.083,87.89
AT,01/07/2014,423.893,6.1607577,83.901,88.185
AT,01/10/2014,425.49,6.257279067,85.609,86.941
AT,01/01/2015,429.099,6.183132767,88.593,88.726
AT,01/04/2015,429.669,6.016308533,85.595,89.062
AT,01/07/2015,434.299,6.171674767,90.063,88.689
AT,01/10/2015,436.797,5.840144767,90.838,88.891
AT,01/01/2016,440.632,5.779163067,92.744,86.589
AT,01/04/2016,443.751,5.6864334,93.563,88.327
AT,01/07/2016,444.402,5.6460307,94.998,89.325
AT,01/10/2016,449.007,5.725964567,98.225,91.525
AT,01/01/2017,450.351,5.786862633,96.056,94.131
AT,01/04/2017,453.282,5.587657233,98.188,94.105
AT,01/07/2017,457.697,5.513016467,100.138,97.109
AT,01/10/2017,460.097,5.4639493,98.188,98.147
AT,01/01/2018,464.215,5.521842767,102.238,99.993
AT,01/04/2018,467.87,5.419763,102.797,100.396
AT,01/07/2018,469.354,5.182774567,103.92,99.331
AT,01/10/2018,470.14,5.0368803,103.67,99.374
AT,01/01/2019,472.267,5.0257451,105.131,99.804
AT,01/04/2019,475.156,5.2306012,106.68,98.342
AT,01/07/2019,477.791,5.233083233,107.039,98.061
AT,01/10/2019,480.28,5.166917133,106.787,98.159
AU,01/01/1994,..,3.9,..,..
AU,01/04/1994,..,3.833333333,..,..
AU,01/07/1994,..,3.8,..,..
AU,01/10/1994,..,3.8,..,..
AU,01/01/1995,..,3.933333333,..,..
AU,01/04/1995,..,4.1,..,..
AU,01/07/1995,..,4.366666667,..,..
AU,01/10/1995,..,4.566666667,..,..
AU,01/01/1996,61.384794,4.766666667,18.469839,20.287581
AU,01/04/1996,61.839816,4.8,18.455697,20.283522
AU,01/07/1996,61.972757,4.7,18.657471,20.515988
AU,01/10/1996,62.196212,4.6,19.187749,21.057443
AU,01/01/1997,62.513077,4.666666667,19.593443,21.205141
AU,01/04/1997,62.712013,4.7,20.397786,21.854471
AU,01/07/1997,63.481812,4.8,21.301884,22.423348
AU,01/10/1997,64.224491,4.866666667,21.612844,22.614745
AU,01/01/1998,64.788008,4.933333333,22.103643,23.127795
AU,01/04/1998,65.519679,4.833333333,22.396291,23.130799
AU,01/07/1998,65.67176,4.666666667,22.575187,23.406916
AU,01/10/1998,65.928993,4.4,22.595549,23.547827
AU,01/01/1999,66.600825,4.233333333,22.822416,23.680561
AU,01/04/1999,67.246413,4.2,23.405797,23.931379
AU,01/07/1999,68.172854,4.033333333,24.205932,24.594928
AU,01/10/1999,68.750939,4.1,24.88137,24.892832
AU,01/01/2000,69.465404,4.233333333,25.949779,25.765217
AU,01/04/2000,70.031819,3.7,26.762563,26.477473
AU,01/07/2000,70.440785,3.833333333,27.415059,27.018996
AU,01/10/2000,71.057216,3.766666667,28.471165,27.747521
AU,01/01/2001,70.968616,3.633333333,28.556721,28.436578
AU,01/04/2001,70.903493,4,28.383276,28.016747
AU,01/07/2001,71.032672,4.1,28.841995,27.897814
AU,01/10/2001,71.272657,4.3,28.906492,28.227594
AU,01/01/2002,71.758453,4.5,29.726068,28.01124
AU,01/04/2002,72.019989,4.233333333,29.987218,28.562692
AU,01/07/2002,72.319655,4.4,29.663167,28.191391
AU,01/10/2002,72.439308,4.433333333,29.621643,28.006583
AU,01/01/2003,72.534587,4.533333333,29.884698,28.863462
AU,01/04/2003,72.64826,4.8,29.46005,28.566684
AU,01/07/2003,72.969015,4.8,30.268284,29.178191
AU,01/10/2003,73.206848,5.033333333,30.622676,29.734496
AU,01/01/2004,74.133153,5.633333333,31.493615,30.421269
AU,01/04/2004,74.444836,5.366666667,32.243749,30.974834
AU,01/07/2004,74.977135,5.466666667,32.464107,31.674929
AU,01/10/2004,75.107581,5.533333333,33.239926,32.601559
AU,01/01/2005,75.333425,5.433333333,33.263268,31.94425
AU,01/04/2005,76.348555,5.733333333,34.502269,33.292732
AU,01/07/2005,76.767001,5.666666667,35.132126,33.616996
AU,01/10/2005,77.476361,5.733333333,35.839413,33.893326
AU,01/01/2006,78.261237,5.733333333,36.592675,34.293418
AU,01/04/2006,78.767706,5.233333333,37.496851,34.886008
AU,01/07/2006,79.612372,5.033333333,37.841519,35.507444
AU,01/10/2006,80.586544,4.933333333,38.639292,36.046746
AU,01/01/2007,81.1885,4.933333333,39.539258,36.757211
AU,01/04/2007,82.132913,5.1,40.075253,36.374945
AU,01/07/2007,82.35821,4.933333333,40.740184,37.591654
AU,01/10/2007,82.932468,4.5,41.224198,37.533578
AU,01/01/2008,84.072657,4.233333333,41.833048,37.844793
AU,01/04/2008,83.627464,3.8,41.483596,38.444529
AU,01/07/2008,83.161822,3.966666667,40.438108,37.009241
AU,01/10/2008,81.601741,4.4,38.8697,36.249757
AU,01/01/2009,80.357213,4.766666667,35.949753,33.164407
AU,01/04/2009,79.642273,5.366666667,35.062552,32.579708
AU,01/07/2009,79.902639,5.666666667,34.936435,32.859828
AU,01/10/2009,80.748623,5.5,36.091187,33.561024
AU,01/01/2010,80.108953,4.9,37.638524,35.181269
AU,01/04/2010,81.43318,4.8,39.42496,36.765287
AU,01/07/2010,82.213184,4.866666667,40.507234,37.76063
AU,01/10/2010,82.742181,4.5,40.974388,37.985987
AU,01/01/2011,83.952149,4.866666667,41.807171,38.979798
AU,01/04/2011,84.122727,4.533333333,42.178589,38.818753
AU,01/07/2011,84.129429,4.133333333,42.217645,39.374279
AU,01/10/2011,84.267463,4.8,42.854236,39.356884
AU,01/01/2012,85.006543,4.533333333,42.82648,39.886305
AU,01/04/2012,84.460746,4.933333333,42.76841,39.673066
AU,01/07/2012,84.55457,5.2,43.061707,39.170776
AU,01/10/2012,84.481009,5,42.8035,39.207505
AU,01/01/2013,84.069567,5.3,42.62899,38.887949
AU,01/04/2013,84.505056,5.166666667,43.346002,39.702704
AU,01/07/2013,84.685144,5.4,43.196818,40.154177
AU,01/10/2013,85.091254,5.466666667,43.320354,40.479767
AU,01/01/2014,85.087356,5.6,44.028145,40.819611
AU,01/04/2014,85.092891,5.5,43.972697,41.025719
AU,01/07/2014,85.27559,5.666666667,44.627865,40.974465
AU,01/10/2014,85.509107,5.666666667,45.022205,41.121893
AU,01/01/2015,85.425162,5.566666667,44.940506,41.838442
AU,01/04/2015,85.990645,5.9,45.429883,41.606387
AU,01/07/2015,86.400375,5.6,46.133145,42.958695
AU,01/10/2015,86.473431,5.9,46.461112,43.517256
AU,01/01/2016,87.180984,6.033333333,46.8566,43.237373
AU,01/04/2016,87.555513,6.2,47.131713,44.241555
AU,01/07/2016,88.010213,6.166666667,47.326521,44.051935
AU,01/10/2016,88.816498,5.766666667,47.481107,44.608277
AU,01/01/2017,89.177986,5.733333333,48.495209,45.647507
AU,01/04/2017,89.963413,5.5,49.172337,45.97842
AU,01/07/2017,90.622314,5.366666667,49.621559,46.400928
AU,01/10/2017,91.02362,5.433333333,51.318422,46.77344
AU,01/01/2018,91.774824,5.033333333,51.400776,47.233832
AU,01/04/2018,92.054512,4.766666667,52.414005,48.57842
AU,01/07/2018,92.264242,4.933333333,52.842085,48.219665
AU,01/10/2018,92.953244,4.8,53.108322,49.060957
AU,01/01/2019,93.775058,4.766666667,54.041411,49.58827
AU,01/04/2019,93.7938,4.5,54.175617,50.068745
AU,01/07/2019,93.580836,4.5,53.965591,49.913106
AU,01/10/2019,93.37064,4.233333333,52.751822,48.523918
BE,01/01/1994,..,9.666666667,..,..
BE,01/04/1994,..,9.8,..,..
BE,01/07/1994,..,9.8,..,..
BE,01/10/1994,..,9.733333333,..,..
BE,01/01/1995,71.093,9.666666667,39.124,38.177
BE,01/04/1995,71.391,9.6,38.244,37.907
BE,01/07/1995,71.819,9.666666667,37.647,37.823
BE,01/10/1995,71.967,9.8,38.351,38.746
BE,01/01/1996,71.823,9.866666667,39.243,39.575
BE,01/04/1996,72.326,9.666666667,40.076,40.053
BE,01/07/1996,72.659,9.433333333,40.399,40.235
BE,01/10/1996,73.233,9.233333333,41.297,40.953
BE,01/01/1997,73.967,9.1,42.776,42.267
BE,01/04/1997,75.11,9.133333333,43.826,43.461
BE,01/07/1997,75.772,9.3,44.553,43.994
BE,01/10/1997,76.195,9.333333333,45.137,44.347
BE,01/01/1998,76.393,9.433333333,45.48,44.698
BE,01/04/1998,76.647,9.433333333,45.924,45.534
