"Please cite data as follows: C. Broda and D. Weinstein, ""Globalization and the Gains from Variety,"" ",,,
" Quarterly Journal of Economics Volume 121, Issue 2 - May 2006",,,
,,,
HTS,Sigma 1990-2001,,
101110010,108.2,,
101110020,119.3,,
101190090,1.8,,
103920000,1.4,,
106001000,2.6,,
106005010,2.0,,
201205000,43.8,,
201305000,19.1,,
201306000,7.5,,
202205000,10.4,,
202206000,26.0,,
202300600,103.0,,
202302000,4.0,,
202303000,2.9,,
202304000,13.6,,
202305000,23.7,,
202306000,7.8,,
203229000,113.6,,
203292000,4.9,,
203294000,5.5,,
206100000,8.6,,
206210000,10.3,,
206290000,4.9,,
206490000,3.4,,
208200000,3.4,,
208902000,1.9,,
208904000,2.0,,
210190090,2.0,,
210200000,4.8,,
210904000,2.2,,
301920000,7.3,,
302110000,3.5,,
302110010,3.6,,
302110090,13.1,,
302120002,25.0,,
302120003,12.2,,
302120004,4.6,,
302120062,9.7,,
302190000,12.6,,
302210010,6.9,,
302210090,4.6,,
302230000,12.6,,
302290010,9.7,,
302290090,2.9,,
302310000,3.1,,
302320000,5.9,,
302390020,10.9,,
302390040,3.1,,
302400000,14.6,,
302500090,8.1,,
302640000,10.3,,
302650000,4.8,,
302650090,6.7,,
302660000,3.0,,
302692030,1.3,,
302692040,17.1,,
302692041,13.9,,
302692049,9.4,,
302692062,6.6,,
302692070,8.3,,
302694030,125.2,,
302694040,2.3,,
302694060,1.8,,
302694070,6.8,,
302694095,5.0,,
302694096,3.2,,
302694098,6.0,,
302694099,131.5,,
302704000,113.6,,
302704090,2.3,,
303100062,9.1,,
303210000,13.6,,
303220000,3.2,,
303290000,2.5,,
303310030,12.0,,
303320000,108.2,,
303330000,80.7,,
303390010,2.9,,
303390090,131.5,,
303390095,3.6,,
303410000,4.7,,
303420020,3.6,,
303420060,3.7,,
303430000,3.2,,
303490020,1.5,,
303490040,7.0,,
303500000,6.8,,
303600010,2.6,,
303600090,2.3,,
303710000,3.9,,
303740000,2.8,,
303750000,349.8,,
303750090,14.9,,
303760000,4.8,,
303770000,3.7,,
303780000,3.1,,
303792026,3.0,,
303792030,11.7,,
303792040,4.3,,
303792065,7.3,,
303792080,10.7,,
303792090,6.6,,
303792094,1.9,,
303792098,4.9,,
303794020,10.9,,
303794040,1.3,,
303794070,4.8,,
303794075,4.9,,
303794080,10.1,,
303794090,2.8,,
303794095,59.1,,
303794097,5.4,,
303804080,4.2,,
303804095,5.6,,
304101020,25.0,,
304101044,5.3,,
304101048,11.3,,
304101050,4.8,,
304104035,131.5,,
304104055,8.6,,
304104060,131.5,,
304104061,8.1,,
304104062,15.9,,
304104065,5.1,,
304104075,30.1,,
304104080,2.5,,
304104085,5.5,,
304104090,6.0,,
304104091,6.3,,
304104092,2.7,,
304104093,17.3,,
304104095,5.2,,
304104096,8.1,,
304104099,5.6,,
304202011,108.2,,
304202012,14.8,,
304202023,9.2,,
304202025,3.4,,
304202027,6.0,,
304202029,108.2,,
304202030,20.0,,
304202033,73.2,,
304202040,5.2,,
304202044,30.3,,
304202048,5.8,,
304202055,6.7,,
304202060,4.0,,
304202061,11.7,,
304202063,3.1,,
304202066,8.0,,
304203020,11.3,,
304203030,17.5,,
304203035,14.3,,
304203062,4.3,,
304203065,3.6,,
304203068,847.0,,
304205000,6.3,,
304206005,28.5,,
304206006,4.4,,
304206007,4.0,,
304206008,6.9,,
304206010,12.1,,
304206015,2.9,,
304206030,11.9,,
304206041,8.4,,
304206042,30.6,,
304206043,9.4,,
304206055,6.9,,
304206057,27.4,,
304206058,103.0,,
304206059,4.4,,
304206061,22.7,,
304206064,2.0,,
304206070,6.9,,
304206071,19.9,,
304206075,25.0,,
