kurstype	valuta	tid	Månedsgennemsnit	
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2007M01	745.3900
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2007M02	745.4100
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2007M03	744.9409
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2007M04	745.2905
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2007M05	745.1760
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2007M06	744.5080
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2007M07	744.0986
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2007M08	744.2896
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2007M09	745.0640
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2007M10	745.3439
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2007M11	745.4318
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2007M12	745.9894
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2008M01	745.0459
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2008M02	745.3990
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2008M03	745.5922
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2008M04	746.0305
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2008M05	746.0870
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2008M06	745.8575
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2008M07	745.9891
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2008M08	745.9471
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2008M09	745.8323
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2008M10	745.4465
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2008M11	744.8480
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2008M12	745.0305
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2009M01	745.1938
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2009M02	745.1410
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2009M03	745.0877
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2009M04	744.9063
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2009M05	744.6889
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2009M06	744.5595
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2009M07	744.5761
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2009M08	744.4000
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2009M09	744.2805
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2009M10	744.3845
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2009M11	744.1481
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2009M12	744.1815
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2010M01	744.2425
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2010M02	744.4020
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2010M03	744.1648
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2010M04	744.2728
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2010M05	744.1550
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2010M06	744.0868
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2010M07	745.2168
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2010M08	744.9523
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2010M09	744.7573
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2010M10	745.6700
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2010M11	745.4705
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2010M12	745.2767
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2011M01	745.1838
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2011M02	745.5480
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2011M03	745.7430
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2011M04	745.7411
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2011M05	745.6619
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2011M06	745.8137
Valutakurser (DKK pr. 100 enheder valuta)	Euro  (Jan. 1999-)	2011M07	745.5981
